freq_hz,mag_db,phase_deg
5.0119e3,-3.1143e-2,3.6471e-2
5.2481e3,-3.1143e-2,3.4771e-2
5.4954e3,-3.1143e-2,3.3145e-2
5.7544e3,-3.1143e-2,3.1589e-2
6.0256e3,-3.1143e-2,3.0101e-2
6.3096e3,-3.1142e-2,2.8676e-2
6.6069e3,-3.1142e-2,2.7312e-2
6.9183e3,-3.1142e-2,2.6006e-2
7.2444e3,-3.1142e-2,2.4755e-2
7.5858e3,-3.1142e-2,2.3556e-2
7.9433e3,-3.1142e-2,2.2408e-2
8.3176e3,-3.1142e-2,2.1307e-2
8.7096e3,-3.1142e-2,2.0251e-2
9.1201e3,-3.1142e-2,1.9238e-2
9.5499e3,-3.1142e-2,1.8266e-2
1.0000e4,-3.1142e-2,1.7333e-2
1.0471e4,-3.1142e-2,1.6436e-2
1.0965e4,-3.1142e-2,1.5575e-2
1.1482e4,-3.1142e-2,1.4746e-2
1.2023e4,-3.1142e-2,1.3949e-2
1.2589e4,-3.1142e-2,1.3181e-2
1.3183e4,-3.1142e-2,1.2441e-2
1.3804e4,-3.1141e-2,1.1728e-2
1.4454e4,-3.1141e-2,1.1040e-2
1.5136e4,-3.1141e-2,1.0374e-2
1.5849e4,-3.1141e-2,9.7314e-3
1.6596e4,-3.1141e-2,9.1090e-3
1.7378e4,-3.1141e-2,8.5059e-3
1.8197e4,-3.1141e-2,7.9208e-3
1.9055e4,-3.1141e-2,7.3526e-3
1.9953e4,-3.1141e-2,6.7999e-3
2.0893e4,-3.1141e-2,6.2616e-3
2.1878e4,-3.1141e-2,5.7367e-3
2.2909e4,-3.1141e-2,5.2239e-3
2.3988e4,-3.1141e-2,4.7222e-3
2.5119e4,-3.1141e-2,4.2305e-3
2.6303e4,-3.1141e-2,3.7477e-3
2.7542e4,-3.1141e-2,3.2730e-3
2.8840e4,-3.1141e-2,2.8051e-3
3.0200e4,-3.1141e-2,2.3433e-3
3.1623e4,-3.1141e-2,1.8863e-3
3.3113e4,-3.1141e-2,1.4334e-3
3.4674e4,-3.1141e-2,9.8356e-4
3.6308e4,-3.1141e-2,5.3577e-4
3.8019e4,-3.1141e-2,8.9125e-5
3.9811e4,-3.1141e-2,-3.5733e-4
4.1687e4,-3.1141e-2,-8.0455e-4
4.3652e4,-3.1141e-2,-1.2535e-3
4.5709e4,-3.1141e-2,-1.7051e-3
4.7863e4,-3.1141e-2,-2.1603e-3
5.0119e4,-3.1141e-2,-2.6200e-3
5.2481e4,-3.1141e-2,-3.0854e-3
5.4954e4,-3.1141e-2,-3.5573e-3
5.7544e4,-3.1141e-2,-4.0367e-3
6.0256e4,-3.1141e-2,-4.5247e-3
6.3096e4,-3.1141e-2,-5.0223e-3
6.6069e4,-3.1141e-2,-5.5305e-3
6.9183e4,-3.1141e-2,-6.0505e-3
7.2444e4,-3.1141e-2,-6.5833e-3
7.5858e4,-3.1141e-2,-7.1301e-3
7.9433e4,-3.1141e-2,-7.6919e-3
8.3176e4,-3.1142e-2,-8.2702e-3
8.7096e4,-3.1142e-2,-8.8659e-3
9.1201e4,-3.1142e-2,-9.4805e-3
9.5499e4,-3.1142e-2,-1.0115e-2
1.0000e5,-3.1142e-2,-1.0771e-2
