freq_hz,mag_db,phase_deg
5.0119e3,-1.7838e1,-1.2406e2
5.2481e3,-1.7677e1,-1.2830e2
5.4954e3,-1.7426e1,-1.3260e2
5.7544e3,-1.7084e1,-1.3688e2
6.0256e3,-1.6651e1,-1.4107e2
6.3096e3,-1.6133e1,-1.4510e2
6.6069e3,-1.5534e1,-1.4891e2
6.9183e3,-1.4862e1,-1.5248e2
7.2444e3,-1.4124e1,-1.5578e2
7.5858e3,-1.3327e1,-1.5881e2
7.9433e3,-1.2476e1,-1.6157e2
8.3176e3,-1.1576e1,-1.6408e2
8.7096e3,-1.0630e1,-1.6635e2
9.1201e3,-9.6389e0,-1.6842e2
9.5499e3,-8.6017e0,-1.7030e2
1.0000e4,-7.5163e0,-1.7202e2
1.0471e4,-6.3785e0,-1.7362e2
1.0965e4,-5.1816e0,-1.7512e2
1.1482e4,-3.9161e0,-1.7656e2
1.2023e4,-2.5691e0,-1.7797e2
1.2589e4,-1.1223e0,-1.7941e2
1.3183e4,4.4999e-1,1.7907e2
1.3804e4,2.1849e0,1.7735e2
1.4454e4,4.1389e0,1.7529e2
1.5136e4,6.4015e0,1.7257e2
1.5849e4,9.1265e0,1.6853e2
1.6596e4,1.2596e1,1.6145e2
1.7378e4,1.7282e1,1.4537e2
1.8197e4,2.1912e1,9.8828e1
1.9055e4,1.8993e1,4.5220e1
1.9953e4,1.4857e1,2.6001e1
2.0893e4,1.2007e1,1.8137e1
2.1878e4,9.9726e0,1.3959e1
2.2909e4,8.4383e0,1.1363e1
2.3988e4,7.2337e0,9.5819e0
2.5119e4,6.2599e0,8.2773e0
2.6303e4,5.4558e0,7.2754e0
2.7542e4,4.7810e0,6.4787e0
2.8840e4,4.2073e0,5.8280e0
3.0200e4,3.7148e0,5.2853e0
3.1623e4,3.2884e0,4.8248e0
3.3113e4,2.9167e0,4.4285e0
3.4674e4,2.5909e0,4.0836e0
3.6308e4,2.3039e0,3.7803e0
3.8019e4,2.0502e0,3.5114e0
3.9811e4,1.8249e0,3.2711e0
4.1687e4,1.6245e0,3.0551e0
4.3652e4,1.4455e0,2.8598e0
4.5709e4,1.2855e0,2.6823e0
4.7863e4,1.1420e0,2.5203e0
5.0119e4,1.0132e0,2.3718e0
5.2481e4,8.9735e-1,2.2351e0
5.4954e4,7.9301e-1,2.1090e0
5.7544e4,6.9892e-1,1.9923e0
6.0256e4,6.1399e-1,1.8839e0
6.3096e4,5.3723e-1,1.7830e0
6.6069e4,4.6782e-1,1.6890e0
6.9183e4,4.0499e-1,1.6011e0
7.2444e4,3.4808e-1,1.5188e0
7.5858e4,2.9649e-1,1.4416e0
7.9433e4,2.4971e-1,1.3691e0
8.3176e4,2.0726e-1,1.3009e0
8.7096e4,1.6873e-1,1.2366e0
9.1201e4,1.3374e-1,1.1760e0
9.5499e4,1.0194e-1,1.1188e0
1.0000e5,7.3044e-2,1.0648e0
