time_s,v_in_small_v,v_out_small_v,v_in_large_v,v_out_large_v
3.625000e-3,-7.071068e-2,1.497089e-2,-1.414214e0,8.224431e-1
3.632813e-3,-7.409511e-2,1.296972e-2,-1.481902e0,8.132958e-1
3.640625e-3,-7.730105e-2,1.093453e-2,-1.546021e0,8.072370e-1
3.648438e-3,-8.032075e-2,8.870640e-3,-1.606415e0,7.691892e-1
3.656250e-3,-8.314696e-2,6.788213e-3,-1.662939e0,6.896326e-1
3.664063e-3,-8.577286e-2,4.690858e-3,-1.715457e0,5.899031e-1
3.671875e-3,-8.819213e-2,2.582205e-3,-1.763843e0,5.035189e-1
3.679688e-3,-9.039893e-2,4.660214e-4,-1.807979e0,4.535880e-1
3.687500e-3,-9.238795e-2,-1.649785e-3,-1.847759e0,4.336310e-1
3.695312e-3,-9.415441e-2,-3.761218e-3,-1.883088e0,4.188879e-1
3.703125e-3,-9.569403e-2,-5.864612e-3,-1.913881e0,3.815235e-1
3.710937e-3,-9.700313e-2,-7.954310e-3,-1.940063e0,3.117084e-1
3.718750e-3,-9.807853e-2,-1.002063e-2,-1.961571e0,2.244280e-1
3.726562e-3,-9.891765e-2,-1.206345e-2,-1.978353e0,1.465557e-1
3.734375e-3,-9.951847e-2,-1.407925e-2,-1.990369e0,9.613476e-2
3.742187e-3,-9.987955e-2,-1.606451e-2,-1.997591e0,7.279519e-2
3.750000e-3,-1.000000e-1,-1.800442e-2,-2.000000e0,5.544026e-2
3.757812e-3,-9.987955e-2,-1.989862e-2,-1.997591e0,2.167864e-2
3.765625e-3,-9.951847e-2,-2.174790e-2,-1.990369e0,-3.495307e-2
3.773437e-3,-9.891765e-2,-2.354904e-2,-1.978353e0,-1.071470e-1
3.781250e-3,-9.807853e-2,-2.529584e-2,-1.961571e0,-1.733895e-1
3.789062e-3,-9.700313e-2,-2.696718e-2,-1.940063e0,-2.171542e-1
3.796875e-3,-9.569403e-2,-2.857751e-2,-1.913881e0,-2.396590e-1
3.804687e-3,-9.415441e-2,-3.012407e-2,-1.883088e0,-2.533173e-1
3.812500e-3,-9.238795e-2,-3.160415e-2,-1.847759e0,-2.774869e-1
3.820312e-3,-9.039893e-2,-3.299880e-2,-1.807979e0,-3.206373e-1
3.828125e-3,-8.819213e-2,-3.430703e-2,-1.763843e0,-3.747066e-1
3.835937e-3,-8.577286e-2,-3.553844e-2,-1.715457e0,-4.258835e-1
3.843750e-3,-8.314696e-2,-3.669091e-2,-1.662939e0,-4.592521e-1
3.851562e-3,-8.032075e-2,-3.776238e-2,-1.606415e0,-4.749209e-1
3.859375e-3,-7.730105e-2,-3.871728e-2,-1.546021e0,-4.811371e-1
3.867187e-3,-7.409511e-2,-3.958527e-2,-1.481902e0,-4.934233e-1
3.875000e-3,-7.071068e-2,-4.036504e-2,-1.414214e0,-5.192414e-1
3.882812e-3,-6.715590e-2,-4.105524e-2,-1.343118e0,-5.547569e-1
3.890625e-3,-6.343933e-2,-4.163924e-2,-1.268787e0,-5.885394e-1
3.898437e-3,-5.956993e-2,-4.210964e-2,-1.191399e0,-6.083887e-1
3.906250e-3,-5.555702e-2,-4.248615e-2,-1.111140e0,-6.131997e-1
